Lista towarów
Id	Nazwa	Na kasie	Kod	Mar¿a rz.	Cena ew.	Cena det.	Cena hurt.	Cena noc.	VAT %	Iloœæ	Asortyment
313	#aloes EM 500	Sok aloes Em	5902596671037	54,68	12,51	20,90	20,90	20,90	8 %	0,000	Soki
3216	#Kombucha czarna herbata 500 Biolinie	Kombucha cza her	8594041070648	38,65	6,39	10,90	10,90	10,90	23 %	0,000	Soki
3215	#Kombucha zielona herbata 500ml Biolinie	Komucha ziel	8594041070617	36,73	6,48	10,90	10,90	10,90	23 %	0,000	Soki
3131	#Mango sok 500ml Alter Medica	Mango sok AM	5907530440755	36,43	13,12	18,80	18,80	18,80	5 %	1,000	Soki
196	#Sok aronia Ole 490	Sok aronia Ole	5904960010169	48,79	12,03	18,80	18,80	18,80	5 %	0,000	Soki
5764	#Sok czarny bez 270ml Dary Natury	Sok cza bez DN	5902741002334	48,43	8,28	12,90	12,90	12,90	5 %	1,000	Soki
2038	#Sok czarny bez Alter Medica 500ml	Sok czarny bez AlterMed	5907530440663	36,85	13,08	18,80	18,80	18,80	5 %	2,000	Soki
198	#Sok malina OL 490	Sok malina OL	5904960010022	39,79	22,82	33,50	33,50	33,50	5 %	3,000	Soki
3113	#Sok morwa 1l EkaMed	Sok morwa 1lEM	5904213000725	28,73	28,99	45,90	45,90	45,90	23 %	0,000	Soki
4526	#Sok Noni 1l hawajski Hepatica	Sok Noni 1l Hep	5905279653429	43,91	45,00	68,00	68,00	68,00	5 %	0,000	Soki
200	#Sok Noni Ol 490	Sok Noni Ol	5907078675817	43,68	28,50	43,00	43,00	43,00	5 %	1,000	Soki
224	#sok pokrzywa EM 500	sok pokrzywa EM	5902596671136	1932,35	1,02	25,50	25,50	25,50	23 %	0,000	Soki
5829	#Zakwas burak 500ml BF	Zakw bur 500	5902693122012	34,49	7,22	10,20	10,20	10,20	5 %	4,000	Soki
6162	Aloe Vera 1l dr Jacobs	Aloe Vera 1l dr Jac	4041246501391	49,95	32,39	51,00	51,00	51,00	5 %	2,000	Soki
5787	Aloe vera gel AM 1000ml Alter m	Aloe vera gel AM 1l	5907530440137	36,21	22,62	37,90	37,90	37,90	23 %	3,000	Soki
227	Aloe vera gel AM 500	Aloevera gel AM	5907530440083	34,01	14,26	23,50	23,50	23,50	23 %	6,000	Soki
4373	Chlorofil 500ml Alter Medica	Chlorofil AM	5907530440076	36,71	30,48	45,00	45,00	44,90	8 %	2,000	Soki
6161	GranaProstan Granat Jacobs	Granat Jacobs	4041246500264	35,51	99,80	142,00	142,00	142,00	5 %	0,000	Soki
6701	Granat 980ml oloef	Granat 980 oloef	5904960011555	44,86	23,34	35,50	35,50	35,50	5 %	3,000	Soki
5176	Granat elixir 500ml Jacobs	Granat elix	5907771496245	40,27	95,05	140,00	140,00	140,00	5 %	3,000	Soki
1427	Karczoch EM 1l	Karczoch EM 1l	5902596671938	32,15	25,16	40,90	40,90	40,90	23 %	2,000	Soki
5785	Krem mix 4 orzechy Terrasana	Krem 4 orzechy	8713576100150	33,93	17,92	25,20	25,20	25,20	5 %	1,000	Soki
1844	M³ody jeczmieñ EkaMedica 500	M³ody jecz Eka 500	5904213000152	28,01	18,99	29,90	29,90	30,90	23 %	3,000	Soki
6170	multiwitamina EkaVita 1l	multiwitamina 1l EV	5902709521143	30,03	39,99	54,60	54,60	54,60	5 %	0,000	Soki
4364	Napoj ryzowo kokos 1l BIO Natumi	Nap ryz kok 1l BIO	4038375025300	36,88	8,00	11,50	11,50	11,50	5 %	1,000	Soki
5071	Rzepa AM 500ml	Rzepa AM	5907530440274	66,10	11,18	19,50	19,50	19,50	5 %	0,000	Soki
4017	Skrzyp sok 0,5l EkaMed	Skrzyp sok 0,5l EM	5904213000220	22,01	18,99	28,50	28,50	28,50	23 %	5,000	Soki
4793	Sok Acai BIO 500ml  BP	Sok Acai BIO 500	5902983784173	30,34	21,19	29,00	29,00	29,00	5 %	1,000	Soki
4755	Sok acerola BIO 500ml BP	Sok acerola BIO 500	5902983784135	37,97	17,12	24,80	24,80	24,80	5 %	3,000	Soki
4097	Sok acerola EM 1L EkaMed	Sok acerola EM 1L	5904213000916	31,18	34,99	48,20	48,20	48,20	5 %	2,000	Soki
223	Sok acerola EM 500EkaMed	Sok acerola EM	5902596671785	37,06	19,32	27,80	27,80	27,80	5 %	0,000	Soki
